snp	locus_gene	locus_entrez_id	distance_to_snp
rs651007	ABO	28	3217
rs651007	SURF6	6838	50343
rs651007	MED22	6837	59892
rs651007	OBP2B	29989	69181
rs651007	RPL7A	6130	69783
rs651007	SNORD24	26820	70965
rs651007	SNORD36A	26815	72025
rs651007	SNORD36C	26813	72416
rs651007	SURF1	6834	73324
rs651007	SURF2	6835	78121
rs651007	SURF4	6836	83018
rs651007	STKLD1	169436	97936
rs651007	GBGT1	26301	114486
rs651007	REXO4	57109	127628
rs651007	RALGDS	5900	129097
rs651007	ADAMTS13	11093	135927
rs651007	CACFD1	11094	181534
rs651007	SLC2A6	11182	192664
rs651007	CEL	1056	206570
rs651007	GTF3C5	9328	219928
rs651007	MIR6877	102465528	226372
rs651007	MYMK	389827	236155
rs651007	ADAMTSL2	9719	253733
rs651007	GFI1B	8328	286744
rs651007	FAM163B	642968	299984
rs651007	MIR548AW	100846992	332660
rs651007	TSC1	7248	333798
rs651007	DBH	1621	357929
rs651007	DBH-AS1	138948	376155
rs651007	SARDH	1757	385129
rs651007	SPACA9	11092	388230
rs651007	AK8	158067	399654
rs651007	VAV2	7410	483463
rs651007	GTF3C4	9329	583476
rs651007	DDX31	64794	608030
rs651007	BARHL1	56751	688165
rs651007	CFAP77	389799	705114
rs651007	BRD3OS	266655	747008
rs651007	BRD3	8019	751874
rs651007	AL445931.1	100130548	775859
rs651007	WDR5	11091	856934
rs651007	TTF1	7270	871580
rs651007	RNU6ATAC	100151684	886008
rs651007	SETX	23064	923446
rs5985	F13A1	2162	2451
rs5985	LY86-AS1	285780	27903
rs5985	MIR7853	102466866	149127
rs5985	MIR5683	100847034	149153
rs5985	LY86	9450	269546
rs5985	NRN1	51299	310957
rs5985	FARS2	10667	546982
rs5985	AL022097.1	101927950	623290
rs5985	RREB1	6239	789035
rs5985	AL021328.1	101927972	860487
rs5985	SSR1	6745	949744
rs2731672	F12	2161	5897
rs2731672	GRK6	2870	12269
rs2731672	PFN3	345456	14837
rs2731672	SLC34A1	6569	16625
rs2731672	PRR7	80758	30972
rs2731672	DBN1	1627	41135
rs2731672	RGS14	10636	42872
rs2731672	LMAN2	10960	63621
rs2731672	PDLIM7	9260	67921
rs2731672	DOK3	79930	86434
rs2731672	DDX41	51428	96104
rs2731672	MXD3	83463	102716
rs2731672	FAM193B	54540	104315
rs2731672	PRELID1	27166	108514
rs2731672	RAB24	53917	111729
rs2731672	NSD1	64324	115258
rs2731672	TMED9	54732	176685
rs2731672	B4GALT7	11285	184627
rs2731672	FAM153A	285596	292508
rs2731672	FGFR4	2264	317329
rs2731672	ZNF346	23567	334284
rs2731672	UIMC1	51720	392840
rs2731672	HK3	3101	516141
rs2731672	UNC5A	90249	534578
rs2731672	PROP1	5626	576762
rs2731672	FAM153C	653316	590932
rs2731672	LINC01574	102577424	671602
rs2731672	N4BP3	23138	697970
rs2731672	RMND5B	64777	715523
rs2731672	NHP2	55651	733987
rs2731672	TSPAN17	26262	756419
rs2731672	EIF4E1B	253314	768832
rs2731672	SNCB	6620	784917
rs2731672	MIR4281	100422962	785973
rs2731672	HNRNPAB	3182	789034
rs2731672	PHYKPL	85007	793024
rs2731672	GPRIN1	114787	805340
rs2731672	CDHR2	54825	819499
rs2731672	COL23A1	91522	822145
rs2731672	RNF44	22838	877448
rs2731672	FAF2	23197	905399
rs2731672	CLTB	1212	998904
rs10665	MCF2L	23263	1222
rs10665	F7	2155	7271
rs10665	F10	2159	24297
rs10665	F10-AS1	104413892	29638
rs10665	PROZ	8858	60137
rs10665	PCID2	55795	79022
rs10665	CUL4A	8451	109676
rs10665	MIR8075	102465874	164403
rs10665	LAMP1	3916	198724
rs10665	ATP11A	23250	211349
rs10665	GRTP1	79774	225647
rs10665	ADPRHL1	113622	301093
rs10665	ATP11A-AS1	100874205	343824
rs10665	DCUN1D2	55208	357302
rs10665	TMCO3	55002	392478
rs10665	TFDP1	7027	486204
rs10665	TUBGCP3	10426	510350
rs10665	ATP4B	496	550287
rs10665	GRK1	6011	568638
rs10665	LINC00552	100130386	649994
rs10665	TMEM255B	348013	660723
rs10665	SPACA7	122258	663828
rs10665	GAS6	2621	722032
rs10665	GAS6-AS2	100506394	765651
rs10665	LINC01044	104266956	767292
rs10665	LINC01043	101928752	776759
rs10665	LINC00565	100861555	827997
rs10665	RASA3	22821	879266
rs10665	SOX1-OT	100505996	990502
rs651007	ABO	28	3217
rs651007	SURF6	6838	50343
rs651007	MED22	6837	59892
rs651007	OBP2B	29989	69181
rs651007	RPL7A	6130	69783
rs651007	SNORD24	26820	70965
rs651007	SNORD36A	26815	72025
rs651007	SNORD36C	26813	72416
rs651007	SURF1	6834	73324
rs651007	SURF2	6835	78121
rs651007	SURF4	6836	83018
rs651007	STKLD1	169436	97936
rs651007	GBGT1	26301	114486
rs651007	REXO4	57109	127628
rs651007	RALGDS	5900	129097
rs651007	ADAMTS13	11093	135927
rs651007	CACFD1	11094	181534
rs651007	SLC2A6	11182	192664
rs651007	CEL	1056	206570
rs651007	GTF3C5	9328	219928
rs651007	MIR6877	102465528	226372
rs651007	MYMK	389827	236155
rs651007	ADAMTSL2	9719	253733
rs651007	GFI1B	8328	286744
rs651007	FAM163B	642968	299984
rs651007	MIR548AW	100846992	332660
rs651007	TSC1	7248	333798
rs651007	DBH	1621	357929
rs651007	DBH-AS1	138948	376155
rs651007	SARDH	1757	385129
rs651007	SPACA9	11092	388230
rs651007	AK8	158067	399654
rs651007	VAV2	7410	483463
rs651007	GTF3C4	9329	583476
rs651007	DDX31	64794	608030
rs651007	BARHL1	56751	688165
rs651007	CFAP77	389799	705114
rs651007	BRD3OS	266655	747008
rs651007	BRD3	8019	751874
rs651007	AL445931.1	100130548	775859
rs651007	WDR5	11091	856934
