snp	pqtl_gene	neg_logp	gwas_collection	gwas_source
rs651007	SELE	102.728	additional GWAS	23300549
rs5985	F13A1,F13B	185.587	additional GWAS	23381943
rs2731672	F12	114.89	additional GWAS	23381943
rs10665	F7	46.625	additional GWAS	23381943
rs651007	VWF	35.355	additional GWAS	23381943
rs4915344	F13A1	29.813	additional GWAS	23381943
rs12134960	F13B	25.158	additional GWAS	23381943
rs651007	F8	24.712	additional GWAS	23381943
rs927332	F13A1	21.861	additional GWAS	23381943
rs2181540	F7	20.892	additional GWAS	23381943
rs12116643	F13A1,F13B	14.577	additional GWAS	23381943
rs2284664	F13A1	12.623	additional GWAS	23381943
rs12124794	F13B	10.15	additional GWAS	23381943
rs11038993	F2	9.877	additional GWAS	23381943
rs10982156	F10	9.607	additional GWAS	23381943
rs12518614	VWF	8.818	additional GWAS	23381943
rs10801560	F13A1,F13B	8.407	additional GWAS	23381943
rs10801531	F13B	8.284	additional GWAS	23381943
rs11243081	F13B	7.361	additional GWAS	23381943
rs17090693	SERPINA1	51.509	additional GWAS	23487758
rs217184	HP	30.538	additional GWAS	23487758
rs2070635	AHSG	23.77	additional GWAS	23487758
rs2230203	C3	13.721	additional GWAS	23487758
rs429358	APOE	11.409	additional GWAS	23487758
rs9399599	PLAT	13.538	additional GWAS	24578379
rs7301826	PLAT	9	additional GWAS	24578379
rs3136739	PLAT	8.886	additional GWAS	24578379
rs4129267	IL6R	57.357	additional GWAS	25147954
rs11548618	CXCL10	36.169	additional GWAS	25147954
rs6946822	CCL24	35.695	additional GWAS	25147954
rs425535	CXCL5	25.369	additional GWAS	25147954
rs148594123	CD40	24.971	additional GWAS	25147954
rs187098133	CD40	19.405	additional GWAS	25147954
rs6801605	IL17RB	17.757	additional GWAS	25147954
rs137859326	CD40	16.848	additional GWAS	25147954
rs2230694	MIA	16.166	additional GWAS	25147954
rs10045431	IL12A|IL12B	16.046	additional GWAS	25147954
rs635634	SELE	15.3	additional GWAS	25147954
rs3869132	MICA	15.273	additional GWAS	25147954
rs56398830	EPCAM	14.52	additional GWAS	25147954
rs7775228	CCL19	12.578	additional GWAS	25147954
rs10274222	CCL24	11.635	additional GWAS	25147954
rs9501626	CCL19	11.442	additional GWAS	25147954
rs16988799	KLK11	11.421	additional GWAS	25147954
rs148736097	FIGF	10.018	additional GWAS	25147954
rs138019833	CD40	9.391	additional GWAS	25147954
rs10494363	IL6R	8.81	additional GWAS	25147954
rs10215877	CCL24	8.699	additional GWAS	25147954
rs2393967	CXCL5	8.174	additional GWAS	25147954
rs187975682	CD40	7.37	additional GWAS	25147954
rs8044375	CD40	7.331	additional GWAS	25147954
rs4252129	PLG	25.721	additional GWAS	25208887
rs3120137	PLG	9.444	additional GWAS	25208887
rs10412972	PLG	7.959	additional GWAS	25208887
rs61812598	IL6R	62.228	additional GWAS	25340798
rs573521	MMP3	43.622	additional GWAS	25340798
rs2228467	CCL2	17.431	additional GWAS	25340798
rs6808835	CCL4	12.799	additional GWAS	25340798
rs4968782	ACE	11.405	additional GWAS	25340798
rs8177240	TF	614.483	additional GWAS	25352340
rs1800562	TF	195.051	additional GWAS	25352340
rs1800562	FTL|FTH1	37.812	additional GWAS	25352340
rs4921915	TF	18.152	additional GWAS	25352340
rs744653	FTL|FTH1	18.077	additional GWAS	25352340
rs174577	TF	16.642	additional GWAS	25352340
rs855791	FTL|FTH1	13.86	additional GWAS	25352340
rs9990333	TF	12.71	additional GWAS	25352340
rs744653	TF	10.87	additional GWAS	25352340
rs411988	FTL|FTH1	9.799	additional GWAS	25352340
rs6486121	TF	9.41	additional GWAS	25352340
rs855791	TF	8.703	additional GWAS	25352340
rs651007	FTL|FTH1	7.883	additional GWAS	25352340
rs34231037	KDR	38.564	additional GWAS	25411163
rs725344	KDR	23.936	additional GWAS	25411163
rs7806429	RARRES2	13.108	additional GWAS	25521368
rs2273720	TEK	64.62	additional GWAS	25552591
rs8176693	TEK	32.735	additional GWAS	25552591
rs5745687	HGF	18.439	additional GWAS	25552591
rs8176746	MCPH1	7.684	additional GWAS	25552591
rs12938	SELL	19.162	additional GWAS	25576479
