snp	pqtl_gene	pqtl_entrez_id	neg_log10_p	gwas_source
rs651007	SELE	6401	102.728	23300549
rs5985	F13A1,F13B	2165,2162	185.587	23381943
rs2731672	F12	2161	114.89	23381943
rs10665	F7	2155	46.625	23381943
rs651007	VWF	7450	35.355	23381943
rs4915344	F13A1	2162	29.813	23381943
rs12134960	F13B	2165	25.158	23381943
rs651007	F8	2157	24.712	23381943
rs927332	F13A1	2162	21.861	23381943
rs2181540	F7	2155	20.892	23381943
rs12116643	F13A1,F13B	2165,2162	14.577	23381943
rs2284664	F13A1	2162	12.623	23381943
rs12124794	F13B	2165	10.15	23381943
rs11038993	F2	2147	9.877	23381943
rs10982156	F10	2159	9.607	23381943
rs12518614	VWF	7450	8.818	23381943
rs10801560	F13A1,F13B	2165,2162	8.407	23381943
rs10801531	F13B	2165	8.284	23381943
rs11243081	F13B	2165	7.361	23381943
rs17090693	SERPINA1	5265	51.509	23487758
rs217184	HP	3240	30.538	23487758
rs2070635	AHSG	197	23.77	23487758
rs2230203	C3	718	13.721	23487758
rs429358	APOE	348	11.409	23487758
rs9399599	PLAT	5327	13.538	24578379
rs7301826	PLAT	5327	9	24578379
rs3136739	PLAT	5327	8.886	24578379
rs4129267	IL6R	3570	57.357	25147954
rs11548618	CXCL10	3627	36.169	25147954
rs6946822	CCL24	6369	35.695	25147954
rs425535	CXCL5	6374	25.369	25147954
rs148594123	CD40	958	24.971	25147954
rs187098133	CD40	958	19.405	25147954
rs6801605	IL17RB	55540	17.757	25147954
rs137859326	CD40	958	16.848	25147954
rs2230694	MIA	8190	16.166	25147954
rs10045431	IL12A|IL12B		16.046	25147954
rs635634	SELE	6401	15.3	25147954
rs3869132	MICA	100507436	15.273	25147954
rs56398830	EPCAM	4072	14.52	25147954
rs7775228	CCL19	6363	12.578	25147954
rs10274222	CCL24	6369	11.635	25147954
rs9501626	CCL19	6363	11.442	25147954
rs16988799	KLK11	11012	11.421	25147954
rs148736097	FIGF		10.018	25147954
rs138019833	CD40	958	9.391	25147954
rs10494363	IL6R	3570	8.81	25147954
rs10215877	CCL24	6369	8.699	25147954
rs2393967	CXCL5	6374	8.174	25147954
rs187975682	CD40	958	7.37	25147954
rs8044375	CD40	958	7.331	25147954
rs4252129	PLG	5340	25.721	25208887
rs3120137	PLG	5340	9.444	25208887
rs10412972	PLG	5340	7.959	25208887
rs61812598	IL6R	3570	62.228	25340798
rs573521	MMP3	4314	43.622	25340798
rs2228467	CCL2	6347	17.431	25340798
rs6808835	CCL4	6351	12.799	25340798
rs4968782	ACE	1636	11.405	25340798
rs8177240	TF	7018	614.483	25352340
rs1800562	TF	7018	195.051	25352340
rs1800562	FTL|FTH1		37.812	25352340
rs4921915	TF	7018	18.152	25352340
rs744653	FTL|FTH1		18.077	25352340
rs174577	TF	7018	16.642	25352340
rs855791	FTL|FTH1		13.86	25352340
rs9990333	TF	7018	12.71	25352340
rs744653	TF	7018	10.87	25352340
rs411988	FTL|FTH1		9.799	25352340
rs6486121	TF	7018	9.41	25352340
rs855791	TF	7018	8.703	25352340
rs651007	FTL|FTH1		7.883	25352340
rs34231037	KDR	3791	38.564	25411163
rs725344	KDR	3791	23.936	25411163
rs7806429	RARRES2	5919	13.108	25521368
rs2273720	TEK	7010	64.62	25552591
rs8176693	TEK	7010	32.735	25552591
rs5745687	HGF	3082	18.439	25552591
rs8176746	MCPH1	79648	7.684	25552591
rs12938	SELL	6402	19.162	25576479
rs7439150	FGA,FGB,FGG	2244,2243,2266	180.022	26561523
rs2057655	FGA,FGB,FGG	2244,2243,2266	72.745	26561523
rs61812598	FGA,FGB,FGG	2244,2243,2266	35.569	26561523
rs6734238	FGA,FGB,FGG	2244,2243,2266	29.174	26561523
rs10157379	FGA,FGB,FGG	2244,2243,2266	28.201	26561523
rs9840812	FGA,FGB,FGG	2244,2243,2266	26.77	26561523
rs7916868	FGA,FGB,FGG	2244,2243,2266	21.796	26561523
rs9808651	FGA,FGB,FGG	2244,2243,2266	19.602	26561523
rs59104589	FGA,FGB,FGG	2244,2243,2266	18.086	26561523
rs715	FGA,FGB,FGG	2244,2243,2266	15.367	26561523
rs1892534	FGA,FGB,FGG	2244,2243,2266	14.367	26561523
rs11859517	FGA,FGB,FGG	2244,2243,2266	13.051	26561523
Chr7:17904452	FGA,FGB,FGG	2244,2243,2266	12.886	26561523
rs7310615	FGA,FGB,FGG	2244,2243,2266	12.824	26561523
rs7934094	FGA,FGB,FGG	2244,2243,2266	12.602	26561523
rs59950280	FGA,FGB,FGG	2244,2243,2266	11.77	26561523
rs367677	FGA,FGB,FGG	2244,2243,2266	11.745	26561523
rs12913259	FGA,FGB,FGG	2244,2243,2266	11.638	26561523
rs1035560	FGA,FGB,FGG	2244,2243,2266	11.585	26561523
rs2731439	FGA,FGB,FGG	2244,2243,2266	11.06	26561523
Chr7:150289652	FGA,FGB,FGG	2244,2243,2266	10.032	26561523
rs1800961	FGA,FGB,FGG	2244,2243,2266	9.921	26561523
rs75347843	FGA,FGB,FGG	2244,2243,2266	9.745	26561523
rs7012814	FGA,FGB,FGG	2244,2243,2266	9.678	26561523
rs1558643	FGA,FGB,FGG	2244,2243,2266	9.509	26561523
rs11230201	FGA,FGB,FGG	2244,2243,2266	9.347	26561523
rs11780978	FGA,FGB,FGG	2244,2243,2266	9.26	26561523
Chr16:28845027	FGA,FGB,FGG	2244,2243,2266	9.114	26561523
rs56702977	FGA,FGB,FGG	2244,2243,2266	8.678	26561523
rs3138493	FGA,FGB,FGG	2244,2243,2266	8.602	26561523
rs2710804	FGA,FGB,FGG	2244,2243,2266	8.538	26561523
rs71520386	FGA,FGB,FGG	2244,2243,2266	8.292	26561523
rs2420915	FGA,FGB,FGG	2244,2243,2266	8.284	26561523
rs7224737	FGA,FGB,FGG	2244,2243,2266	8.215	26561523
Chr12:21703935	FGA,FGB,FGG	2244,2243,2266	8.076	26561523
Chr3:129228166	FGA,FGB,FGG	2244,2243,2266	8	26561523
rs7588285	FGA,FGB,FGG	2244,2243,2266	7.921	26561523
rs73058052	FGA,FGB,FGG	2244,2243,2266	7.699	26561523
rs2250644	FGA,FGB,FGG	2244,2243,2266	7.658	26561523
rs62246343	FGA,FGB,FGG	2244,2243,2266	7.658	26561523
rs1976714	FGA,FGB,FGG	2244,2243,2266	7.638	26561523
rs11105306	NPPB	4879	15.252	26908625
rs198389	NPPB	4879	14.387	26908625
rs13107325	NPPB	4879	8.585	26908625
rs6921438	VEGFA	7422	1466.131	26910538
rs2375981	VEGFA	7422	99.824	26910538
rs6993770	VEGFA	7422	59.62	26910538
rs10761741	VEGFA	7422	18.921	26910538
rs114694170	VEGFA	7422	12.167	26910538
rs4782371	VEGFA	7422	8.796	26910538
rs2639990	VEGFA	7422	7.77	26910538
rs6127099	PTH	5741	71.62	27927781
rs4074995	PTH	5741	22.481	27927781
rs219779	PTH	5741	21.051	27927781
